streamer_name,vod_id,target_offset,review_label,training_label,review_notes,source_run,dataset_index,score,twitch_url
arky,2840052504,5871,positive,1,,live-shadow-window-v2,,0.5047944,https://www.twitch.tv/videos/2840052504?t=1h37m50s
arky,2840052504,5978,hard_negative,0,justamixofmessages,live-shadow-window-v2,,0.49310613,https://www.twitch.tv/videos/2840052504?t=1h39m38s
arky,2840052504,6096,uncertain,,lotsofmmmandfairs,live-shadow-window-v2,,0.5051007,https://www.twitch.tv/videos/2840052504?t=1h41m35s
arky,2840052504,6323,positive,1,greatLOLspams,live-shadow-window-v2,,0.53313524,https://www.twitch.tv/videos/2840052504?t=1h45m23s
arky,2840052504,6413,uncertain,,,live-shadow-window-v2,,0.5121417,https://www.twitch.tv/videos/2840052504?t=1h46m53s
arky,2840052504,6531,positive,1,,live-shadow-window-v2,,0.54909074,https://www.twitch.tv/videos/2840052504?t=1h48m50s
arky,2840052504,6608,positive,1,,live-shadow-window-v2,,0.5335215,https://www.twitch.tv/videos/2840052504?t=1h50m8s
arky,2840052504,6708,uncertain,,,live-shadow-window-v2,,0.5571768,https://www.twitch.tv/videos/2840052504?t=1h51m48s
arky,2840052504,6821,positive,1,,live-shadow-window-v2,,0.50456953,https://www.twitch.tv/videos/2840052504?t=1h53m40s
arky,2840052504,6923,positive,1,,live-shadow-window-v2,,0.49439573,https://www.twitch.tv/videos/2840052504?t=1h55m23s
arky,2840052504,7046,hard_negative,0,,live-shadow-window-v2,,0.4976966,https://www.twitch.tv/videos/2840052504?t=1h57m25s
arky,2840052504,7153,uncertain,,,live-shadow-window-v2,,0.5452594,https://www.twitch.tv/videos/2840052504?t=1h59m13s
arky,2840052504,7323,hard_negative,0,WWgiftspam,live-shadow-window-v2,,0.49775866,https://www.twitch.tv/videos/2840052504?t=2h2m3s
arky,2840052504,7456,uncertain,,,live-shadow-window-v2,,0.48086098,https://www.twitch.tv/videos/2840052504?t=2h4m15s
arky,2840052504,7548,uncertain,,,live-shadow-window-v2,,0.49097222,https://www.twitch.tv/videos/2840052504?t=2h5m48s
arky,2840052504,7623,positive,1,,live-shadow-window-v2,,0.51282066,https://www.twitch.tv/videos/2840052504?t=2h7m3s
arky,2840052504,7876,positive,1,,live-shadow-window-v2,,0.4928668,https://www.twitch.tv/videos/2840052504?t=2h11m15s
arky,2840052504,8008,positive,1,,live-shadow-window-v2,,0.49470225,https://www.twitch.tv/videos/2840052504?t=2h13m28s
